	2theta	BCC_112	2theta	BCC_200	2theta	BCC_220	2theta	BCC_110/FCC_111	2theta	FCC_200	2theta	FCC_222	2theta	FCC_311
01.00000	80.24574	00.00000	64.04574	00.00000	95.04574	00.00000	44.64574	00.00000	50.84574	00.00000	92.04574	00.00000	87.64574	00.00000
02.00000	80.23748	00.00000	64.03748	00.00000	95.03748	00.00000	44.63748	00.00000	50.83748	00.00000	92.03748	00.00000	87.63748	00.00000
03.00000	80.22922	00.00000	64.02922	00.00000	95.02922	00.00000	44.62922	00.00000	50.82922	00.00000	92.02922	00.00000	87.62922	00.00000
04.00000	80.22096	00.00000	64.02096	00.00000	95.02096	00.00000	44.62096	00.00000	50.82096	00.00000	92.02096	00.00000	87.62096	00.00000
05.00000	80.21270	00.00000	64.01270	00.00000	95.01270	00.00000	44.61270	00.00000	50.81270	00.00000	92.01270	00.00000	87.61270	00.00000
06.00000	80.20444	00.00000	64.00444	00.00000	95.00444	00.00000	44.60444	00.00000	50.80444	00.00000	92.00444	00.00000	87.60444	00.00000
07.00000	80.19618	00.00000	63.99618	00.00000	94.99618	00.00000	44.59618	00.00000	50.79618	00.00000	91.99618	00.00000	87.59618	00.00000
08.00000	80.18792	00.00000	63.98792	00.00000	94.98792	00.00000	44.58792	00.00000	50.78792	00.00000	91.98792	00.00000	87.58792	00.00000
09.00000	80.17966	00.00000	63.97966	00.00000	94.97966	00.00000	44.57966	00.00000	50.77966	00.00000	91.97966	00.00000	87.57966	00.00000
10.00000	80.17140	00.00000	63.97140	00.00000	94.97140	00.00000	44.57140	00.00000	50.77140	00.00000	91.97140	00.00000	87.57140	00.00000
11.00000	80.16314	00.00000	63.96314	00.00000	94.96314	00.00000	44.56314	00.00000	50.76314	00.00000	91.96314	00.00000	87.56314	00.00000
12.00000	80.15488	00.00000	63.95488	00.00000	94.95488	00.00000	44.55488	00.00000	50.75488	00.00000	91.95488	00.00000	87.55488	00.00000
13.00000	80.14662	00.00000	63.94662	00.00000	94.94662	00.00000	44.54662	00.00000	50.74662	00.00000	91.94662	00.00000	87.54662	00.00000
14.00000	80.13836	00.00000	63.93836	00.00000	94.93836	00.00000	44.53836	00.00000	50.73836	00.00000	91.93836	00.00000	87.53836	00.00000
15.00000	80.13010	00.00000	63.93010	00.00000	94.93010	00.00000	44.53010	00.00000	50.73010	00.00000	91.93010	00.00000	87.53010	00.00000
16.00000	80.12184	00.00000	63.92184	00.00000	94.92184	00.00000	44.52184	00.00000	50.72184	00.00000	91.92184	00.00000	87.52184	00.00000
17.00000	80.11358	00.00000	63.91358	00.00000	94.91358	00.00000	44.51358	00.00000	50.71358	00.00000	91.91358	00.00000	87.51358	00.00000
18.00000	80.10532	00.00000	63.90532	00.00000	94.90532	00.00000	44.50532	00.00000	50.70532	00.00000	91.90532	00.00000	87.50532	00.00000
19.00000	80.09706	00.00000	63.89706	00.00000	94.89706	00.00000	44.49706	00.00000	50.69706	00.00000	91.89706	00.00000	87.49706	00.00000
20.00000	80.08880	00.00000	63.88880	00.00000	94.88880	00.00000	44.48880	00.00000	50.68880	00.00000	91.88880	00.00000	87.48880	00.00000
21.00000	80.08054	00.00000	63.88054	00.00000	94.88054	00.00000	44.48054	00.00000	50.68054	00.00000	91.88054	00.00000	87.48054	00.00000
22.00000	80.07228	00.00000	63.87228	00.00000	94.87228	00.00000	44.47228	00.00000	50.67228	00.00000	91.87228	00.00000	87.47228	00.00000
23.00000	80.06402	00.00000	63.86402	00.00000	94.86402	00.00000	44.46402	00.00000	50.66402	00.00000	91.86402	00.00000	87.46402	00.00000
24.00000	80.05576	00.00000	63.85576	00.00000	94.85576	00.00000	44.45576	00.00000	50.65576	00.00000	91.85576	00.00000	87.45576	00.00000
25.00000	80.04750	00.00000	63.84750	00.00000	94.84750	00.00000	44.44750	00.00000	50.64750	00.00000	91.84750	00.00000	87.44750	00.00000
26.00000	80.03924	00.00000	63.83924	00.00000	94.83924	00.00000	44.43924	00.00000	50.63924	00.00000	91.83924	00.00000	87.43924	00.00000
27.00000	80.03098	00.00000	63.83098	00.00000	94.83098	00.00000	44.43098	00.00000	50.63098	00.00000	91.83098	00.00000	87.43098	00.00000
28.00000	80.02272	00.00000	63.82272	00.00000	94.82272	00.00000	44.42272	00.00000	50.62272	00.00000	91.82272	00.00000	87.42272	00.00000
29.00000	80.01446	00.00000	63.81446	00.00000	94.81446	00.00000	44.41446	00.00000	50.61446	00.00000	91.81446	00.00000	87.41446	00.00000
30.00000	80.00620	00.00000	63.80620	00.00000	94.80620	00.00000	44.40620	00.00000	50.60620	00.00000	91.80620	00.00000	87.40620	00.00000
31.00000	79.99794	00.00000	63.79794	00.00000	94.79794	00.00000	44.39794	00.00000	50.59794	00.00000	91.79794	00.00000	87.39794	00.00000
32.00000	79.98968	00.00000	63.78968	00.00000	94.78968	00.00000	44.38968	00.00000	50.58968	00.00000	91.78968	00.00000	87.38968	00.00000
33.00000	79.98142	00.00000	63.78142	00.00000	94.78142	00.00000	44.38142	00.00000	50.58142	00.00000	91.78142	00.00000	87.38142	00.00000
34.00000	79.97316	00.00000	63.77316	00.00000	94.77316	00.00000	44.37316	00.00000	50.57316	00.00000	91.77316	00.00000	87.37316	00.00000
35.00000	79.96490	00.00000	63.76490	00.00000	94.76490	00.00000	44.36490	00.00000	50.56490	00.00000	91.76490	00.00000	87.36490	00.00000
